slug,ArticleIndex,Name,title,author,date,Published,Attachments,status,Tags,secret,URL,Created,Updated,hero,Labels
119e3912-b458-40b3-ae61-9ff74d679165,1,1,Git for Unity Developers,Kailash Vetal,2016-01-31,"Jan 31, 2016",,published,"git, software development, unity3d",false,https://www.gamasutra.com/blogs/AlistairDoulin/20150304/237814/Git_for_Unity_Developers.php,"Mar 04, 2020 6:31 PM","Apr 11, 2020 3:35 AM",Blog/yancy-min-842ofHC6MaI-unsplash.jpg,
3ea40340-67d5-46dd-9abe-796e89c47667,2,2,Joots tool for analysing colour schemes.,Kailash Vetal,2016-07-25,"Jul 25, 2016",,published,"game development, kv47.in, tools",false,http://joostdevblog.blogspot.com/2015/01/a-tool-for-analysing-colour-schemes.html,"Mar 04, 2020 2:19 PM","Apr 11, 2020 3:36 AM",Blog/ruvim-noga-pazM9TQJ2Ck-unsplash.jpg,
bf390a8f-3981-4f33-99a7-3480f8dfc1d2,3,3,SOLID Principles For Software Developers,Kailash Vetal,2016-02-12,"Feb 12, 2016",,published,"kailashvetal.co.in, kv47.in, software development",false,http://www.doolwind.com/blog/solid-principles-for-game-developers/,"Mar 04, 2020 1:22 PM","Apr 11, 2020 3:36 AM",Blog/kevin-ku-w7ZyuGYNpRQ-unsplash.jpg,
f6031b1a-f2c9-47b5-8567-248bd6a1ff59,4,4,"KISS, DRY, and Code Principles Every Developer Should Follow",Kailash Vetal,2019-12-29,"Dec 29, 2019",,published,software development,false,https://medium.com/better-programming/kiss-dry-and-code-principles-every-developer-should-follow-b77d89f51d74,"Mar 01, 2020 10:30 AM","Apr 11, 2020 3:37 AM",Blog/1_itpAdE6O7ldkLqBqvW2ZTA.jpeg,
ebfbc58d-562b-41b9-9ee7-86ca185efead,5,5,DOOM (2016) - Graphics Study,Kailash Vetal,2016-10-10,"Oct 10, 2016",,published,"game development, graphics programming, kv47.in",false,http://www.adriancourreges.com/blog/2016/09/09/doom-2016-graphics-study/,"Jan 28, 2020 4:39 PM","Apr 11, 2020 3:37 AM",Blog/doom_2016_logo.jpg,
4df2e2ac-52d0-44fa-b229-ea99040bab9c,8,8,Simple easing formulae,Kailash Vetal,2017-01-08,"Jan 08, 2017",,published,"graphics programming, tools",false,"http://gizma.com/easing/ ","Mar 04, 2020 7:04 PM","Apr 11, 2020 3:37 AM",Blog/aRiKXA.jpg,
49ad69e8-ad7f-4261-8fa2-183722322cb1,11,11,"5 Great Programming Books Rarely Mentioned in ""Great Programming Books""",Kailash Vetal,2019-12-05,"Dec 05, 2019",,published,empty,false,https://dev.to/erikwhiting88/5-great-programming-books-rarely-mentioned-in-great-programming-books-articles-4l5j,"Mar 04, 2020 7:17 PM","Apr 11, 2020 3:38 AM",Blog/hero.jpg,
dc81ac91-ee34-4c87-973c-c91cea537f8e,12,12,Twenty-one ways to be a Crappy Software Developer,Kailash Vetal,2020-03-11,"Mar 11, 2020",,published,"kv47.in, software development",false,https://medium.com/nickonsoftware/twenty-one-ways-to-be-a-crappy-software-developer-c69e4b39c5df,"Mar 04, 2020 11:26 PM","Apr 11, 2020 3:39 AM",Blog/yakobchukolenaistock-912498514.jpg,
030bdd42-3c2e-4c83-a38d-2c700cc79882,14,16,John Carmack on Inlined Code,Kailash Vetal,2017-02-25,"Feb 25, 2017",,published,"game development, software development",false,http://number-none.com/blow/blog/programming/2014/09/26/carmack-on-inlined-code.html,"Mar 04, 2020 7:31 PM","Apr 11, 2020 3:41 AM",Blog/john_530_big-pcgh.jpg,
7f2e578d-3f2e-4bcd-a1b6-a8ef2fcd21b3,15,17,From STUPID to SOLID Code,Kailash Vetal,2016-12-07,"Dec 07, 2016",,published,"kailashvetal.co.in, kv47.in, software development",false,https://williamdurand.fr/2013/07/30/from-stupid-to-solid-code/#tight-coupling,"Mar 04, 2020 7:30 PM","Apr 11, 2020 3:41 AM",Blog/clement-h-95YRwf6CNw8-unsplash.jpg,
